2024-12-20 18:12:57,425 - [Process 0/1] - INFO - loading datasets finished
2024-12-20 18:12:57,425 - [Process 0/1] - INFO - model_max_len: 3950
2024-12-20 18:12:57,425 - [Process 0/1] - INFO - output_max_len: 64
2024-12-20 18:12:57,442 - [Process 0/1] - INFO - Max Length is 10337
2024-12-20 18:12:57,442 - [Process 0/1] - INFO - Finish loading dataset
2024-12-20 18:12:57,442 - [Process 0/1] - INFO - get_predicted begin
2024-12-20 18:12:57,494 - [Process 0/1] - INFO - len(per_windows_prompt):2
2024-12-20 18:13:12,369 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3959])
2024-12-20 18:13:12,409 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3960])
2024-12-20 18:13:12,449 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3961])
2024-12-20 18:13:12,489 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3962])
2024-12-20 18:13:12,529 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3963])
2024-12-20 18:13:12,569 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3964])
2024-12-20 18:13:12,609 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3965])
2024-12-20 18:13:12,649 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3966])
2024-12-20 18:13:12,689 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3967])
2024-12-20 18:13:12,730 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3968])
2024-12-20 18:13:12,770 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3969])
2024-12-20 18:13:12,810 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3970])
2024-12-20 18:13:12,850 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3971])
2024-12-20 18:13:12,890 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3972])
2024-12-20 18:13:12,931 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3973])
2024-12-20 18:13:12,971 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3974])
2024-12-20 18:13:13,011 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3975])
2024-12-20 18:13:13,051 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3976])
2024-12-20 18:13:13,091 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3977])
2024-12-20 18:13:13,131 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3978])
2024-12-20 18:13:13,171 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3979])
2024-12-20 18:13:13,212 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3980])
2024-12-20 18:13:13,252 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3981])
2024-12-20 18:13:13,292 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3982])
2024-12-20 18:13:13,332 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3983])
2024-12-20 18:13:13,372 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3984])
2024-12-20 18:13:13,412 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3985])
2024-12-20 18:13:13,453 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3986])
2024-12-20 18:13:13,493 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3987])
2024-12-20 18:13:13,533 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3988])
2024-12-20 18:13:13,573 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3989])
2024-12-20 18:13:13,615 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3990])
2024-12-20 18:13:13,655 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3991])
2024-12-20 18:13:13,695 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3992])
2024-12-20 18:13:13,736 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3993])
2024-12-20 18:13:13,776 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3994])
2024-12-20 18:13:13,816 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3995])
2024-12-20 18:13:13,856 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3996])
2024-12-20 18:13:13,897 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3997])
2024-12-20 18:13:13,937 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3998])
2024-12-20 18:13:13,977 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 3999])
2024-12-20 18:13:14,018 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4000])
2024-12-20 18:13:14,058 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4001])
2024-12-20 18:13:14,098 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4002])
2024-12-20 18:13:14,138 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4003])
2024-12-20 18:13:14,179 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4004])
2024-12-20 18:13:14,219 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4005])
2024-12-20 18:13:14,259 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4006])
2024-12-20 18:13:14,300 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4007])
2024-12-20 18:13:14,340 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4008])
2024-12-20 18:13:14,380 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4009])
2024-12-20 18:13:14,420 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4010])
2024-12-20 18:13:14,461 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4011])
2024-12-20 18:13:14,501 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4012])
2024-12-20 18:13:14,542 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4013])
2024-12-20 18:13:14,582 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4014])
2024-12-20 18:13:14,622 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4015])
2024-12-20 18:13:14,663 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4016])
2024-12-20 18:13:14,703 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4017])
2024-12-20 18:13:14,743 - [Process 0/1] - INFO - position_ids shape0:torch.Size([1, 4018])
2024-12-20 18:13:14,783 - [Process 0/1] - INFO - res.shape is :torch.Size([66])
2024-12-20 18:13:14,913 - [Process 0/1] - INFO - len(per_windows_prompt):2
